mc_number,dot_number
1465634,3943956
1485447,3973343
767606,1953508
1068369,3345061
1592003,4148422
1304689,3714127
1512036,4013822
1539528,4040156
1139628,3476571
1465634,3943956
1506126,3416500
1372526,3807187
484259,1223697
708570,2009671
1001253,3208232
1016481,3238005
1109335,3427011
766552,2209144
521228,1359813
882968,2538535
137504,3192249
1008703,3222327
1532981,3812117
1241914,3628102
1344153,3768158
763167,2199367
1482327,3968620
1352578,3779719
1107598,3423997
96673,3137069
1182151,3540826
1442916,3909837
1598930,4160877
1465639,3943964
848478,1955093
1115095,3436831
1557757,4089868
38387,3029000
1040468,3287504
890332,2554377
1238074,3622680
1496705,3990242
629676,1716871
973110,2872504
999526,2951833
683357,1902472
84231,3113961
520194,1292601
1567403,4106179
1315838,3729343
1481665,3959097
948057,2834398
20168,2993394
1116213,3426202
1176228,3532128
1426440,3884863
570181,1080538
1125550,3454366
104841,3150981
1038030,3282456
933230,2795862
1287034,3690115
1342586,3765999
1575500,2873040
1571008,4112373
1268029,3664195
1352435,3779513
1004238,3213837
1176549,3532588
1035704,3277488
1257982,3650341
975015,2899210
1319351,3734204
1234810,3618027
885461,2544099
901867,2579305
1144552,3484221
1033535,3272875
1172264,3526254
1169608,3522344
1303442,3712442
1223205,3601091
465753,1168869
633989,1730271
1315532,3728920
479749,1204798
1049258,3305891
994108,2940055
1532695,4047035
1144957,3484835
1179740,3537285
1328442,3746748
1023266,2276519
906242,2585928
1023266,2276519
703512,1988238
1265735,3661026
501715,1289454
1058232,3324046
1247558,3635975
963688,2873135
1122354,3449108
1021707,3248304
822180,2045563
1515721,4019526
1373005,3807817
1595461,4154496
1194896,3559362
1139646,3476600
1343608,3767402
1463109,3940206
1222602,3600220
110419,3159359
1283596,3685480
1241526,3308384
1139328,3476110
565492,1507798
1442731,3909552
860441,2485414
1346461,3771496
60330,3069734
1340797,3763557
1493015,3984676
811201,2358374
974610,2898611
1307083,3717382
1370813,3804790
1126222,3455476
1507248,4006469
1519311,4025262
1118663,3442896
906994,2587378
1435153,3898077
1547272,4072136
1035872,3277813
857577,2478589
,3638812
1575269,4119530
1402700,3832856
1191370,3554198
1456777,3930713
1092611,3396641
1340145,3762628
1540946,4061123
770594,2258074
468599,1278479
31974,3016482
125462,3179918
1081350,3372403
1160216,3508031
76811,3099771
346774,774589
1225161,3603974
606553,1647329
1394560,3837801
1309960,3721334
370661,840597
926451,2781867
2094,2956313
1240375,3625969
1042642,3292049
878487,2528611
1564064,4100463
1439362,3904401
1137448,3473227
114306,3165629
1446937,3915903
721968,2050802
1380586,3818142
1140555,3478094
1158327,3505186
1537760,4055553
1524888,4034119
1501933,3998181
1618994,4198111
827604,2405573
821986,2391366
82019,3109683
1203219,3571505
116207,3168296
911552,2596713
1454857,3927857
1567950,4107095
1494747,3987317
1489426,3979355
1535940,4052455
,2809194
1016545,3238114
966051,2878403
1563991,4100325
1196736,3562110
913467,2609387
1061888,3331812
784526,2297576
289934,601866
94064,3132759
5499,2962405
1301387,3709641
1537907,4005292
